"psig","qval","med_q_val","is_sig"
1,8.56337e-07,5.21869e-07,TRUE
1,8.89198e-08,4.53483e-08,TRUE
0.00400802,0.195511,0.181327,FALSE
0,0.617898,0.630222,FALSE
0,0.784697,0.795319,FALSE
0.012024,0.998435,0.99839,FALSE
0,0.643963,0.611151,FALSE
0.0721443,0.0899752,0.0745054,FALSE
0,0.180739,0.213913,FALSE
0,0.645908,0.662302,FALSE
1,0.00273888,0.0017496,TRUE
0,0.607902,0.570425,FALSE
0,0.993267,0.959127,FALSE
1,0.000545171,0.000565056,TRUE
0,0.273811,0.258429,FALSE
1,1.88673e-06,1.20585e-06,TRUE
0,0.998435,0.998422,FALSE
0,0.998435,0.998418,FALSE
0.01002,0.983561,0.947084,FALSE
0.00200401,0.0997514,0.116481,FALSE
0.148297,0.0905724,0.0724645,FALSE
0,0.831091,0.820142,FALSE
0,0.998435,0.998422,FALSE
0,0.794156,0.848088,FALSE
0,0.998435,0.998396,FALSE
0,0.581182,0.593237,FALSE
0.95992,0.0249609,0.0299403,TRUE
0,0.729712,0.527883,FALSE
0,0.998435,0.99841,FALSE
0,0.998435,0.998394,FALSE
0,0.443065,0.423423,FALSE
0,0.310973,0.440047,FALSE
0.00200401,0.419661,0.466378,FALSE
0,0.95501,0.976261,FALSE
1,1.0225e-13,2.23871e-12,TRUE
1,3.2648e-12,2.70094e-10,TRUE
0,0.998435,0.998392,FALSE
0,0.998435,0.998409,FALSE
0,0.336787,0.354187,FALSE
0,0.95821,0.949901,FALSE
